GameIndex,AwayTeam,HomeTeam,AwayPlay,HomePlay,PlayStartTime,PlayEndTime,Make,PlayType,ScoreDifference,ActualDecisionO,OptimalDecisionO,OptimalWP,ActualWP,ETM,ActualDecisionD,OptimalDecisionD,OptimalWPD,ActualWPD,DETM
3,MIN,LAL,1,0,60,43,0,2,4,2,2,0.92676369,0.925701277,0.001062413,0,0,0.92676369,0,0
3,MIN,LAL,0,1,41,32,0,3,-4,3,3,0.121504446,0.121432237,7.22E-05,0,0,0.121504446,0,0
3,MIN,LAL,0,1,32,32,1,3,-4,3,3,0.118381864,0.118381864,0,0,0,0.118381864,0,0
3,MIN,LAL,1,0,32,9,0,2,1,2,2,0.801385044,0.793980709,0.007404335,0,0,0.801385044,0,0
3,MIN,LAL,0,1,4,1,0,2,-1,2,2,0.442507079,0.429513342,0.012993737,0,0,0.442507079,0,0
4,WAS,ORL,0,1,167,161,0,2,-2,2,3,0.378112233,0.369128516,0.008983717,0,0,0.378112233,0,0
4,WAS,ORL,0,1,157,157,1,2,-2,2,3,0.374392951,0.346705684,0.027687267,0,0,0.374392951,0,0
4,WAS,ORL,1,0,157,152,0,2,0,2,2,0.558268081,0.548433877,0.009834204,0,0,0.558268081,0,0
4,WAS,ORL,0,1,146,139,1,3,0,3,2,0.558614144,0.549719885,0.008894259,0,0,0.558614144,0,0
4,WAS,ORL,1,0,139,127,0,3,-3,3,3,0.283634132,0.283375905,0.000258227,0,0,0.283634132,0,0
4,WAS,ORL,0,1,125,120,1,2,3,2,2,0.816437651,0.805951848,0.010485803,0,0,0.816437651,0,0
4,WAS,ORL,0,1,120,100,0,5,5,3,3,0.142121212,0.125536752,0,5,0,0.142121212,0.143467981,0
4,WAS,ORL,0,1,100,89,0,5,5,3,3,0.128973758,0.128775634,0,5,0,0.128973758,0.134997085,0
4,WAS,ORL,0,1,89,75,0,2,3,2,2,0.841056348,0.840833318,0.00022303,0,0,0.841056348,0,0
4,WAS,ORL,1,0,74,66,0,3,-3,3,3,0.241927658,0.239892025,0.002035633,0,0,0.241927658,0,0
4,WAS,ORL,0,1,64,60,0,2,3,2,2,0.869096137,0.847659204,0.021436933,0,0,0.869096137,0,0
4,WAS,ORL,1,0,57,51,0,3,-3,3,3,0.226277847,0.220313183,0.005964664,0,0,0.226277847,0,0
4,WAS,ORL,1,0,50,50,1,2,-3,2,3,0.218639482,0.185673887,0.032965595,0,0,0.218639482,0,0
4,WAS,ORL,0,1,50,38,0,0,1,2,2,0.710816907,0.708216514,0.002600394,0,0,0.710816907,0,0
4,WAS,ORL,1,0,38,34,0,3,-1,3,3,0.438630124,0.411591677,0.027038447,0,0,0.438630124,0,0
4,WAS,ORL,0,1,33,21,0,2,1,2,2,0.79323592,0.738580643,0.054655277,0,0,0.79323592,0,0
4,WAS,ORL,1,0,20,13,1,2,-1,2,2,0.458917482,0.42596074,0.032956741,0,0,0.458917482,0,0
4,WAS,ORL,1,0,13,10,0,5,1,2,2,0.459604832,0.427936036,0,5,0,0.459604832,0.537320359,0
4,WAS,ORL,0,1,10,4,0,2,-1,2,2,0.459604832,0.431818773,0.027786059,0,0,0.459604832,0,0
4,WAS,ORL,0,1,4,0,0,2,-1,2,2,0.459604832,0.459604832,0,0,0,0.459604832,0,0
5,CHA,ATL,0,1,136,131,1,2,3,2,2,0.810752862,0.800359878,0.010392984,0,0,0.810752862,0,0
5,CHA,ATL,1,0,131,110,0,2,-5,2,3,0.150210495,0.124025488,0.026185007,0,0,0.150210495,0,0
5,CHA,ATL,0,1,109,89,0,2,5,2,2,0.920723568,0.919556208,0.001167361,0,0,0.920723568,0,0
5,CHA,ATL,0,1,88,82,0,5,5,3,3,0.121607112,0.119127411,0,5,0,0.121607112,0.134345737,0
5,CHA,ATL,0,1,82,82,0,0,5,2,2,0.938200936,0.918284153,0.019916784,0,0,0.938200936,0,0
5,CHA,ATL,1,0,82,67,0,2,-5,2,3,0.116926419,0.099007921,0.017918498,0,0,0.116926419,0,0
5,CHA,ATL,1,0,65,60,1,3,-5,3,3,0.102256289,0.099331523,0.002924766,0,0,0.102256289,0,0
5,CHA,ATL,1,0,60,50,0,5,-2,2,2,0.7981926,0.791910852,0,5,0,0.7981926,0.841950435,0
5,CHA,ATL,0,1,50,37,0,2,2,2,2,0.816373799,0.813245741,0.003128058,0,0,0.816373799,0,0
5,CHA,ATL,0,1,36,36,1,2,2,2,2,0.885157258,0.810490723,0.074666535,0,0,0.885157258,0,0
5,CHA,ATL,1,0,36,28,0,2,-4,2,3,0.132197418,0.100481109,0.031716309,0,0,0.132197418,0,0
5,CHA,ATL,1,0,26,20,0,2,-4,2,3,0.117122672,0.083940508,0.033182164,0,0,0.117122672,0,0
5,CHA,ATL,1,0,20,20,0,2,-4,2,3,0.106093111,0.083940508,0.022152603,0,0,0.106093111,0,0
5,CHA,ATL,1,0,18,18,1,2,-4,2,3,0.101936473,0.079109529,0.022826943,0,0,0.101936473,0,0
5,CHA,ATL,1,0,18,15,0,5,-2,2,2,0.998066684,0.870842777,0,5,5,0.912742727,0.923659613,0.010916886
5,CHA,ATL,1,0,15,14,0,0,-4,3,3,0.095100739,0.092629129,0.00247161,0,0,0.095100739,0,0
5,CHA,ATL,1,0,14,14,0,5,-4,2,2,0.999994392,0.972772472,0,5,5,0.985321381,0.985321381,0
5,CHA,ATL,1,0,13,5,0,2,-5,2,3,0.0429402,0.011144742,0.031795459,0,0,0.0429402,0,0
5,CHA,ATL,1,0,4,4,1,2,-5,2,3,0.018754831,0.00862189,0.010132941,0,0,0.018754831,0,0
5,CHA,ATL,0,1,4,2,0,0,3,2,2,0.999895685,0.992325608,0.007570077,0,5,0.993246916,0.999895685,0.006648769
5,CHA,ATL,1,0,2,0,0,3,-3,3,3,0.135601126,0.129509369,0.006091757,0,5,0.094340633,0.135601126,0.041260493
6,CHI,DET,0,1,172,160,1,2,-2,2,3,0.38097466,0.373035341,0.007939318,0,0,0.38097466,0,0
6,CHI,DET,1,0,160,140,0,0,0,3,3,0.563150728,0.544029674,0.019121054,0,0,0.563150728,0,0
6,CHI,DET,0,1,140,132,0,0,0,3,3,0.558109327,0.55373562,0.004373707,0,0,0.558109327,0,0
6,CHI,DET,1,0,132,107,0,2,0,2,3,0.562688603,0.520063303,0.0426253,0,0,0.562688603,0,0
6,CHI,DET,0,1,107,106,0,2,0,2,3,0.559102591,0.529755809,0.029346782,0,0,0.559102591,0,0
6,CHI,DET,0,1,103,100,1,2,0,2,3,0.559441302,0.538582646,0.020858656,0,0,0.559441302,0,0
6,CHI,DET,1,0,100,86,1,2,-2,2,3,0.357257935,0.337859725,0.01939821,0,0,0.357257935,0,0
6,CHI,DET,0,1,86,63,0,3,0,3,3,0.561650275,0.52356368,0.038086595,0,0,0.561650275,0,0
6,CHI,DET,0,1,62,62,0,0,0,2,2,0.5683235,0.526459081,0.041864419,0,0,0.5683235,0,0
6,CHI,DET,1,0,62,38,0,0,0,3,3,0.573455055,0.520315659,0.053139396,0,0,0.573455055,0,0
6,CHI,DET,0,1,38,24,0,2,0,2,2,0.589632946,0.589618482,1.45E-05,0,0,0.589632946,0,0
6,CHI,DET,1,0,23,2,0,2,0,2,2,0.707539864,0.671401475,0.036138389,0,0,0.707539864,0,0
7,CHI,DET,0,1,166,166,0,5,7,3,3,0.08854586,0.07742944,0,5,0,0.08854586,0.099504814,0
7,CHI,DET,0,1,166,153,0,2,5,2,2,0.895388502,0.895267517,0.000120985,0,0,0.895388502,0,0
7,CHI,DET,1,0,153,153,0,5,-5,2,2,0.900071483,0.884576302,0,5,0,0.900071483,0.909812118,0
7,CHI,DET,1,0,152,141,0,0,-5,3,3,0.163738143,0.163696311,4.18E-05,0,0,0.163738143,0,0
7,CHI,DET,0,1,141,121,0,0,5,2,2,0.90486944,0.903143101,0.00172634,0,0,0.90486944,0,0
7,CHI,DET,1,0,121,110,0,2,-5,2,3,0.145896066,0.131482561,0.014413505,0,0,0.145896066,0,0
7,CHI,DET,0,1,110,97,0,2,5,2,2,0.919926103,0.919257106,0.000668997,0,0,0.919926103,0,0
7,CHI,DET,0,1,97,95,1,2,5,2,2,0.927723435,0.913864324,0.013859111,0,0,0.927723435,0,0
7,CHI,DET,1,0,95,90,1,2,-7,2,3,0.055971664,0.048505102,0.007466561,0,0,0.055971664,0,0
7,CHI,DET,0,1,90,72,0,2,5,2,2,0.932398967,0.932398321,6.46E-07,0,0,0.932398967,0,0
7,CHI,DET,1,0,72,72,0,0,-5,3,3,0.11015501,0.094895002,0.015260008,0,0,0.11015501,0,0
7,CHI,DET,1,0,72,56,0,3,-5,3,3,0.11015501,0.102628849,0.007526161,0,0,0.11015501,0,0
7,CHI,DET,1,0,56,44,0,5,-5,2,2,0.963022471,0.95668573,0,5,5,0.95741855,0.966477632,0.009059082
7,CHI,DET,1,0,44,41,0,3,-6,3,3,0.046621887,0.045007528,0.001614359,0,0,0.046621887,0,0
7,CHI,DET,1,0,40,35,0,5,-6,2,2,0.992370657,0.980012223,0,5,5,0.983123745,0.985840865,0.00271712
7,CHI,DET,1,0,35,25,1,3,-4,3,3,0.132891862,0.117267889,0.015623973,0,0,0.132891862,0,0
7,CHI,DET,1,0,25,24,0,5,-4,2,2,0.999498739,0.953314177,0,5,5,0.965748708,0.96718688,0.001438173
7,CHI,DET,1,0,24,11,1,2,-4,2,3,0.115484207,0.057872105,0.057612103,0,0,0.115484207,0,0
7,CHI,DET,1,0,11,10,0,5,-4,2,2,0.999994364,0.981382107,0,5,5,0.987195988,0.988769244,0.001573255
7,CHI,DET,0,1,8,6,0,5,4,3,3,0.075925943,0.067947872,0,5,0,0.075925943,0.054722662,0
7,CHI,DET,1,0,6,3,0,3,-4,3,3,0.067947872,0.051796722,0.01615115,0,0,0.067947872,0,0
8,OKC,ORL,0,1,179,163,0,2,8,2,2,0.962788204,0.962777957,1.02E-05,0,0,0.962788204,0,0
8,OKC,ORL,1,0,162,149,1,2,-8,2,3,0.05959782,0.055203204,0.004394616,0,0,0.05959782,0,0
