"GameIndex","AwayTeam","HomeTeam","Win","InitPoss","AwayETM","HomeETM","AwayDETM","HomeDETM","AwayWPstart","HomeWPstart","AwayWPend","HomeWPend","AwayCorrectO","HomeCorrectO","AwayCorrectD","HomeCorrectD","AwayPoss","HomePoss"
1,"CLE","CHI",1,1,0.128731150377359,0.0147278986217025,0,0.0285994816313481,0.076775209380699,0.923224790619301,0.266190614523254,0.733809385476746,0,0,0,0,9,5
2,"UTA","DET",1,0,0.131620804858701,0.0519153377358035,0,0,0.116601821616082,0.883398178383918,0.00552526854974434,0.994474731450256,0,0,2,0,7,6
3,"MIN","LAL",-1,0,0.0222237583815527,0.022701473367032,0,0,0.851205076703679,0.148794923296321,0.429513341579947,0.570486658420053,0,0,0,0,5,7
4,"WAS","ORL",-1,1,0.11105351170421,0.162752737773149,0,0,0.630871484161327,0.369128515838673,0.459604831820682,0.540395168179318,0,0,0,0,7,10
5,"CHA","ATL",1,1,0.207398058079175,0.116841798804375,0.0412604930972521,0.00664876916585999,0.199640121646531,0.800359878353469,0.129509369143028,0.870490630856972,0,0,2,0,11,6
6,"CHI","DET",0,1,0.170422349158515,0.142483942735033,0,0,0.626964658718607,0.373035341281393,0.671401475132885,0.328598524867115,0,0,0,0,5,7
7,"CHI","DET",1,0,0.135709651977933,0.0163760786978309,0,0,0.0774294397985492,0.922570560201451,0.0517967219297385,0.948203278070262,0,0,4,0,9,5
8,"OKC","ORL",0,1,0.0631773952876106,0.126987454426944,0.012283731305477,0,0.037222042944294,0.962777957055706,0.124302204646235,0.875697795353765,0,0,1,0,7,6
9,"OKC","ORL",0,1,0.24389747516882,0.050968730891627,0.143004691647798,0,0.830792868859833,0.169207131140167,0.123663991761949,0.876336008238051,0,0,0,0,8,5
10,"OKC","ORL",-1,0,0.0763985902819183,0.07002715538118,0.0541074612692206,0.0345318380182607,0.798587587706253,0.201412412293747,0.130001526600884,0.869998473399116,0,0,0,3,6,7
11,"WAS","MIL",-1,1,0.0334729759357602,0.0618465337885955,0,0,0.711610480105128,0.288389519894872,0.00851660109143026,0.99148339890857,0,0,0,3,4,8
12,"SAC","LAC",1,1,0.169928666696203,0.0107703667661619,0,0,0.109843456250869,0.890156543749131,0.0013784148981435,0.998621585101857,0,0,2,0,10,2
13,"ORL","CHI",1,0,0.128360111267567,0.0425700611031755,0,0.0123984860650973,0.220068419343839,0.779931580656161,0.00553500380948323,0.994464996190517,0,0,2,0,11,8
14,"ATL","CHA",-1,1,0.151799253727118,0.224565929328637,0.0481976621037491,0,0.827522133092357,0.172477866907643,0.184495342674788,0.815504657325212,0,0,0,1,5,7
15,"OKC","HOU",1,1,0.0566477758758269,0.0212811991973801,0,0,0.15068292279907,0.84931707720093,0.000589098631008261,0.999410901368992,0,0,1,0,6,4
16,"POR","MIN",-1,1,0.056739388582764,0.107814989427368,0.0125179211209994,0,0.78301500010467,0.21698499989533,0.00976477104256301,0.990235228957437,0,0,0,1,7,8
17,"LAC","GSW",1,1,0.239899338683693,0.026252765767054,0,0,0.437855482839889,0.562144517160111,0.0572115703106905,0.94278842968931,0,0,2,0,8,4
18,"ORL","HOU",1,0,0.090885125725479,0.081117304178873,0,0,0.442186138300957,0.557813861699043,0.738850746049261,0.261149253950739,0,0,1,0,5,5
19,"ORL","HOU",1,1,0.0467015915728377,0.0887932760132183,0.00238008231206652,0.0597492938246206,0.280711100836196,0.719288899163804,0.00297012194169699,0.997029878058303,0,0,2,0,5,6
20,"BOS","IND",1,1,0.0380417574633995,0.0316303940375476,0,0,0.354669852034808,0.645330147965192,0.250236266378315,0.749763733621685,0,0,0,0,6,5
21,"PHI","MIL",1,1,0.153446170936662,0.071361753569941,0,0.0250663760529717,0.725734218722208,0.274265781277792,0.0101947873885923,0.989805212611408,0,0,1,0,6,5
22,"TOR","OKC",-1,0,0.103198634889536,0.0351058612316816,0.0278872186320327,0,0.213717714896769,0.786282285103231,0.0271197918483697,0.97288020815163,0,0,0,2,5,5
23,"SAS","WAS",1,0,0.15437732319148,0.130335846371329,0.06433426289548,0,0.385085883784352,0.614914116215648,0.13309501543738,0.86690498456262,0,0,1,0,10,5
24,"MIA","IND",1,0,0.058794294739613,0.271819769618755,0.0157255437396424,0.0594295622228447,0.216649057384808,0.783350942615192,0.12452245631465,0.87547754368535,0,0,2,0,6,6
25,"TOR","ORL",1,0,0.148005951530055,0.038570286352179,0,0,0.223606390843056,0.776393609156944,0.00757052098801803,0.992429479011982,0,0,2,0,5,3
26,"MIN","CHI",0,1,0.0728154531476647,0.097462080494628,0,0,0.225532282487576,0.774467717512424,0.714476569928666,0.285523430071334,0,0,0,0,7,6
27,"HOU","LAC",-1,1,0.0672564039418038,0.122773672778872,0,0,0.919704327816574,0.0802956721834263,0.0510781431325833,0.948921856867417,0,0,0,1,4,7
28,"IND","CLE",1,0,0.171151600149622,0.112976150411872,0,0.0923800285048049,0.361236918520421,0.638763081479579,0.000870583812127725,0.999129416187872,0,0,1,0,7,4
29,"LAL","NYK",1,1,0.078280554697259,0.00214747763073341,0,0,0.732959861177058,0.267040138822942,0.00270438327217842,0.997295616727822,0,0,1,0,10,2
30,"POR","DEN",1,0,0.1795178102046,0.0012598522787216,0,0,0.194032754733654,0.805967245266346,0.0158362125365686,0.984163787463431,0,0,1,0,9,2
31,"MEM","LAC",1,1,0.103891554889007,0.0143968506413839,0,0,0.530633613588255,0.469366386411745,0.03230977472398,0.96769022527602,0,0,4,0,3,4
32,"UTA","CLE",1,0,0.100940267215652,0.149766313349514,0,0.0923928206929782,0.126743781490174,0.873256218509826,0.01705539853389,0.98294460146611,0,0,5,0,9,5
33,"NYK","TOR",-1,0,0.0444211398858456,0.145419017368144,0,0,0.797510012426466,0.202489987573534,0.302365378773036,0.697634621226964,0,0,0,3,6,7
34,"NYK","CHA",0,0,0.228197271058893,0.0630817075549263,0,0,0.34249765589445,0.65750234410555,0.693896008977595,0.306103991022405,0,0,0,0,8,4
35,"MIL","DEN",1,0,0.0707529458702675,0.106402471097868,0,0,0.295394264959402,0.704605735040598,0.438915968647695,0.561084031352305,0,0,0,0,9,5
36,"LAL","ORL",0,1,0.0848170931532131,0.170848728628961,0,0,0.442330629825531,0.557669370174469,0.717504934767903,0.282495065232097,0,0,0,0,4,8
37,"UTA","MIA",1,0,0.185568952733516,0.0249717284037116,0,0,0.288638732729104,0.711361267270896,0.0107509684648401,0.98924903153516,0,0,4,0,9,4
38,"CHA","CHI",1,0,0.0999041558817106,0.0309715210727439,0,0.00897287914592859,0.127634761227098,0.872365238772902,4.77560277978536e-05,0.999952243972202,0,0,0,0,8,4
39,"MIN","IND",1,0,0.0975350481280086,0.018924412317995,0,0,0.0857942286498206,0.914205771350179,0.052684496889877,0.947315503110123,0,0,3,0,10,3
40,"POR","MEM",1,1,0.0487811341543314,0.158762568980965,0,0,0.076144451728966,0.923855548271034,0.459991544958463,0.540008455041537,0,0,0,0,6,8
41,"BKN","SAC",1,1,0.0907783942937397,0.0322606628169033,0,0.010233782503448,0.075080757734183,0.924919242265817,0.283531913101907,0.716468086898093,0,0,4,0,11,5
42,"BKN","GSW",0,0,0.282901540229756,0.220392303997823,0.154644947916732,0.0117320943746488,0.465298473057067,0.534701526942933,0.711018690302491,0.288981309697509,0,0,0,1,8,10
43,"DET","LAC",1,1,0.0721102531579665,0.100092755323454,0.0177618340970219,0.0424275917653885,0.474635437108975,0.525364562891025,0.00549640805489667,0.994503591945103,0,0,2,0,5,6
44,"CLE","MIL",0,0,0.128768741476126,0.072156634938987,0,0,0.173851309322234,0.826148690677766,0.692761897108615,0.307238102891385,0,0,0,0,7,6
45,"CLE","MIL",0,1,0.20806961068972,0.20073845099309,0,0,0.277689188049496,0.722310811950504,0.619961418211396,0.380038581788604,0,0,0,0,6,7
46,"CLE","MIL",1,0,0.0595877605813745,0.0201017430953526,0,0.0527229432265167,0.273075920810958,0.726924079189042,0.987312512283845,0.012687487716155,0,0,0,0,6,5
47,"UTA","ATL",-1,1,0.0907351033317226,0.107796862730824,0.0064864123451277,0,0.843245590328155,0.156754409671845,0.443552005418357,0.556447994581643,0,0,0,0,7,7
48,"IND","CHI",1,0,0.0936336766938696,0.1485395327363,0,0,0.373697659680894,0.626302340319106,0.435598739782529,0.564401260217471,0,0,0,0,6,4
49,"ATL","BKN",0,0,0.171116566313556,0.0322809261869852,0,0,0.401649073136242,0.598350926863758,0.312794488350943,0.687205511649057,0,0,0,0,6,3
50,"CLE","DET",1,0,0.163750234733056,0.0155566115875657,0,0,0.730707335204308,0.269292664795692,0.0221024256465021,0.977897574353498,0,0,3,0,10,3
51,"TOR","GSW",1,0,0.197710731587238,0.0107306606989926,0,0,0.169893958584982,0.830106041415018,0.00587948725688474,0.994120512743115,0,0,4,0,9,4
52,"DAL","BOS",-1,0,0.0876046836573993,0.0743712780509065,0.0287449790215278,0,0.856825180286297,0.143174819713703,0.0299615541466204,0.97003844585338,0,0,0,4,6,8
53,"BKN","CHA",1,1,0.105405479737517,0.0870555094770046,0,0.0281115209657046,0.077177758820506,0.922822241179494,0.00196241454105232,0.998037585458948,0,0,3,0,9,6
54,"POR","HOU",0,1,0.185090901552745,0.0414356818689288,0.0592683844406368,0.0110846043803272,0.957006112915282,0.0429938870847176,0.622886142371456,0.377113857628544,0,0,1,2,7,8
55,"POR","HOU",1,0,0.103014560948236,0.0353782077978748,0,0.0127889557315847,0.29008480126924,0.70991519873076,4.71341628271931e-05,0.999952865837173,0,0,1,0,6,5
56,"MIN","ORL",0,0,0.0969330672537103,0.155105006862969,0,0.0553967902326482,0.275064031730746,0.724935968269254,0.718085109136696,0.281914890863304,0,0,0,0,4,9
57,"MIN","ORL",1,0,0.218540063855376,0.065837083068773,0.0162231797612506,0.0530521083542834,0.531536099544461,0.468463900455539,0.11792416989814,0.88207583010186,0,0,0,0,8,6
58,"TOR","UTA",1,1,0.18699023190475,0.15610830905189,0,0.0721899959251961,0.372921098664058,0.627078901335942,0.0580741954123895,0.941925804587611,0,0,2,0,7,5
59,"NYK","OKC",-1,0,0.0615259311369056,0.0701698364236397,0.0289747170069601,0.000167523689516058,0.973772713719889,0.026227286280111,0.124302204646235,0.875697795353765,0,0,0,2,7,9
60,"WAS","DET",-1,1,0.168733880588083,0.170228821226232,0.0535635956073146,0,0.84828559242437,0.15171440757563,0.259828077622266,0.740171922377734,0,0,0,2,7,8
61,"NYK","HOU",-1,0,0.0921284985479178,0.0540796152536613,0,0,0.532328116311719,0.467671883688281,0.00058435284360614,0.999415647156394,0,0,0,4,6,7
62,"PHI","MIA",1,1,0.0898097546385321,0.0521356750453922,0,0.000505086450199532,0.704647963447632,0.295352036552368,0.000482701110503969,0.999517298889496,0,0,2,0,6,5
63,"DAL","OKC",1,0,0.204640798545462,0.0358916080763979,0,0,0.452835878512854,0.547164121487146,0.128913786544655,0.871086213455345,0,0,1,0,10,6
64,"SAC","CHA",0,0,0.247810043854931,0.245476755659533,0,0.102334072961701,0.919764170608473,0.080235829391527,0.179008370391256,0.820991629608744,0,0,0,0,9,6
65,"SAC","CHA",1,1,0.0945040970155549,0.0569300185588565,0,0.036492001634139,0.149517371414559,0.850482628585441,0.00558537959116312,0.994414620408837,0,0,2,0,9,7
66,"PHI","MIN",1,1,0.0576960144718529,0.0610540484106253,0,0,0.844381696626814,0.155618303373186,0.000166438244397566,0.999833561755602,0,0,2,0,8,5
67,"CHI","POR",-1,1,0.00388420025368241,0.178818179110559,0,0,0.735148650832696,0.264851349167304,0.000630318354066239,0.999369681645934,0,0,0,3,5,8
68,"PHI","BOS",1,0,0.116344277117275,0.0626382837727028,0,0.0308052894438493,0.831080122875573,0.168919877124427,0.0101947873885923,0.989805212611408,0,0,1,0,7,7
